iter	Logloss
0	0.6436920657
1	0.6015806676
2	0.5689834083
3	0.5436640517
4	0.5218060642
5	0.5026220726
6	0.4891882823
7	0.4785000368
8	0.469746188
9	0.462792666
10	0.4571102565
11	0.4517920113
12	0.4470141669
13	0.4428376464
14	0.4397063214
15	0.4360159794
16	0.4338413671
17	0.4317101832
18	0.4297074899
19	0.4275874645
20	0.4258874517
21	0.4246511604
22	0.4232221751
23	0.4213264966
24	0.4201535114
25	0.4180763255
26	0.4170712781
27	0.4154978495
28	0.413835069
29	0.4132980886
30	0.4118586739
31	0.4104644537
32	0.4094188937
33	0.4085734292
34	0.4076165483
35	0.4065841373
36	0.4048689009
37	0.4038943289
38	0.402874254
39	0.4022183714
40	0.4014073075
41	0.4009787157
42	0.4001979591
43	0.3992523207
44	0.3981073158
45	0.3976424449
46	0.3972050777
47	0.3960433911
48	0.3955670253
49	0.3951037805
50	0.3939496077
51	0.3934196083
52	0.393074705
53	0.3924913805
54	0.3909620531
55	0.390354365
56	0.38931573
57	0.3879395933
58	0.3869836936
59	0.3864135462
60	0.3854206665
61	0.3847652045
62	0.3844026382
63	0.3837893429
64	0.3833709282
65	0.3832115976
66	0.3827313067
67	0.3821994569
68	0.3811332342
69	0.3802235103
70	0.3798337489
71	0.379473734
72	0.3782943004
73	0.3779560978
74	0.3776467446
75	0.3766568367
76	0.3763102513
77	0.3760125612
78	0.3755897168
79	0.374828025
80	0.3743363233
81	0.3731824028
82	0.3722937062
83	0.3712686408
84	0.3704622029
85	0.3699252225
86	0.3684914711
87	0.3676984066
88	0.3671871916
89	0.3659742545
90	0.3651996099
91	0.364659153
92	0.3637642324
93	0.3629071608
94	0.3611926533
95	0.3603745243
96	0.3599565863
97	0.3597163707
98	0.3591291211
99	0.3587315655
100	0.3583715226
101	0.3576129708
102	0.3571676974
103	0.3568601385
104	0.3566020077
105	0.3558061956
106	0.3546485182
107	0.3537111506
108	0.3527872684
109	0.3519132909
110	0.3513557038
111	0.3510476683
112	0.3500626669
113	0.3491816523
114	0.34750205
